id,项目名称,发布时间,类别,来源,省份,市,区县,项目编号,采购人,代理机构,预算(万元),项目地址,项目周期,中标人,中标金额(元),中标日期
1,2025年肥西县高成长企业培育项目,2025/7/4,工程,政府采购,安徽省,合肥市,肥西县,2025AEEFN00138,肥西县科学技术局,肥西县公共资源交易有限责任公司,80,安徽省合肥市肥西县上派镇青龙路与站下路交叉口,合同签订后至2026年3月31日,北京与仁科技服务有限公司,790000,2025/7/18
2,包河区村（居）“量子云印章”服务,2025/6/30,服务,政府采购,安徽省,合肥市,包河区,2025ABBFN00064,中共合肥市包河区纪律检查委员会,合肥包河公共资源交易有限公司,50,安徽省合肥市包河区望湖街道包河大道118号,合同签订一年,中国电信股份有限公司合肥分公司,279888,2025/7/11
3,2025年紫云山托育中心厨房设备及餐具采购,2025/7/3,货物,政府采购,安徽省,合肥市,包河区,2025ABBHJ00070,合肥市包河区卫生健康委员会,合肥包河公共资源交易有限公司,54,安徽省合肥市包河区望湖街道包河大道118号,合同生效后一个月内完成供货及安装,安徽环宝厨房设备制造有限公司,483000,2025/7/11
4,2025年紫云山托育中心其他设施设备采购,2025/7/1,货物,政府采购,安徽省,合肥市,包河区,2025ABBHJ00066,合肥市包河区卫生健康委员会,合肥包河公共资源交易有限公司,41.87,安徽省合肥市包河区望湖街道包河大道118号,10天,"合肥领先未来电子科技有限公司,合肥声宝电子有限公司",132100,2025/7/11
5,2025年合肥六中百花井校区物业服务采购,2025/6/20,服务,政府采购,安徽省,合肥市,,2025BFFFZ01496,合肥市第六中学,合肥市政府采购中心,89.96,合肥市庐阳区长江路397号,合同服务期为1年。合同到期前，经考核合格后，在年度预算能够保障的前提下可续签累计不超过3年的采购合同，最多续签2次，合同一年一签。,安徽创源智慧后勤服务集团有限公司,888769.93,2025/7/11
6,2025年合肥市食品药品安全检验检测中心专项设备购置（2次）,2025/6/19,货物,政府采购,安徽省,合肥市,,2025BFFHZ01473,合肥市食品药品安全检验检测中心,安徽公共资源交易集团项目管理有限公司,350,合肥市蜀山区文曲路355号,45天,安徽国仪进出口贸易有限公司,3485000,2025/7/11
7,上海中医药大学附属曙光医院安徽医院采购CBCT、牙周治疗仪、高速手机（补牙）等囗腔科设备,2025/6/13,货物,政府采购,安徽省,合肥市,,2025AFAHZ01373,安徽中医药大学第一附属医院（安徽省中医院）,安徽安天利信工程管理股份有限公司,87.7,安徽省合肥市蜀山区五里墩街道史河路45号,30日历天,合肥洁皓贸易有限公司,456000,2025/7/11
8,合肥大学2025年学生公寓家具购置项目,2025/6/19,货物,政府采购,安徽省,合肥市,,2025BFAHZ01468,合肥大学,安徽省政府采购中心,309.32,合肥市蜀山区锦绣大道99号,合同签订后至2025年8月20日前完成供货及安装,安徽恒洋普实验设备有限公司,1793450,2025/7/11
9,合肥大学2025年智慧房产综合管理系统采购项目,2025/6/20,服务,政府采购,安徽省,合肥市,,2025BFAFZ01482,合肥大学,安徽省政府采购中心,55,合肥市蜀山区锦绣大道99号,合同签订后120个日历日内完成系统建设，项目验收合格之日起3年免费系统质保服务,河南师慧信息技术有限公司,444000,2025/7/11
10,安徽城市管理职业学院2025年智慧康养现代产业学院,2025/6/20,服务,政府采购,安徽省,合肥市,,2025BFAHZ01495,安徽城市管理职业学院,安徽省政府采购中心,75,合肥市瑶海区淮海大道300号,60个日历日内,南京悦莱信息科技有限公司,739500,2025/7/11
11,安徽省应急避难场所专项规划（2025-2035年）编制咨询服务,2025/6/18,服务,政府采购,安徽省,合肥市,包河区,2025AFAFZ01452,安徽省应急管理厅,中金招标有限责任公司,80,安徽省合肥市包河区包公街道马鞍山路509号,270日历天,合肥工业大学设计院（集团）有限公司,580000,2025/7/11
12,安徽省福利彩票发行中心2024年机房软硬件更新购置,2025/6/20,货物,政府采购,安徽省,合肥市,,2025BFAHZ01489,安徽省福利彩票发行中心,安徽省政府采购中心,290,合肥市蜀山区梅山路6号,合同生效后根据采购人需求供货安装,中国移动通信集团安徽有限公司,2889000,2025/7/11
13,智慧城市数据应用中心第二包：智慧城市数据采集项目,2025/6/19,服务,政府采购,安徽省,合肥市,,2025BFAHZ01469,安徽城市管理职业学院,安徽公共资源交易集团项目管理有限公司,58,合肥市瑶海区淮海大道300号,合同生效后45个工作日内完成供货及安装,广州南方测绘科技股份有限公司,569500,2025/7/11
14,全球英才合肥行活动,2025/7/11,服务,政府采购,安徽省,合肥市,,2025BFFFD01746,中共合肥市委组织部,合肥市政府采购中心,157.4,合肥市蜀山区东流路100号,2025年12月31日前完成。合同到期前，经考核合格后，在年度预算能够保障的前提下，经双方同意，可续签累计不超过3年的采购合同，最多续签2次，合同一年一签,合肥市人才发展集团有限公司,1574030,2025/7/11
15,2025年合肥市教育系统网络安全监测管理服务项目,2025/6/19,服务,政府采购,安徽省,合肥市,,2025BFFFN01474,合肥市教育局,合肥市政府采购中心,66.8,合肥市蜀山区天鹅湖路558号,365（日历天）,中检集团天帷网络安全技术（合肥）有限公司,666800,2025/7/11
16,安徽审计职业学院学生公寓及1#实训楼A楼改造工程项目,2025/6/24,工程,政府采购,安徽省,合肥市,,2025AFAZN01531,安徽审计职业学院,安徽安天利信工程管理股份有限公司,920,安徽省合肥市蜀山区合肥蜀山经济技术开发区方兴大道509号,45日历天,安徽三乐建设工程有限公司,5886997.21,2025/7/11
17,安徽工业经济职业技术学院校内景观绿化工程,2025/6/27,工程,政府采购,安徽省,合肥市,,2025BFAZN01586,安徽工业经济职业技术学院,安徽公共资源交易集团项目管理有限公司,580,合肥市包河区梁园路1号,100日历天,安徽创升建设工程有限公司,4000000,2025/7/11
18,安徽省地质博物馆展厅南楼楼顶翻修改造,2025/6/30,工程,政府采购,安徽省,合肥市,,2025BFAZN01604,安徽省地质博物馆,安徽公共资源交易集团项目管理有限公司,201,合肥市政务区仙龙湖路999号,150日历天,淮南建工建筑工程有限公司,1547592.36,2025/7/11
19,省体育局（体彩中心）存量政务信息系统（2024）整合迁移项目,2025/6/26,服务,政府采购,安徽省,合肥市,,2025BFAFN01564,安徽省体育彩票管理中心,安徽省政府采购中心,51.6,合肥市包河区芜湖路51号,第1包：自合同签订之日起，与第2包成交供应商密切配合，1个月内整体完成详细设计，交由第2包成交供应商实施建设，后期持续完善，3个月内整体完成设计工作。第2包：自合同签订之日起，与第1包中标人密切配合，3个月内完成系统迁移开发，3个月内完成试运行，5个月内完成稳定运行并验收。第3包：自合同签订之日起至项目竣工验收完成。第4包：自合同签订之日起至项目竣工验收完成。,"杭州安信检测技术有限公司,安徽数安系统集成有限公司,广州市惟明智能科技有限公司",75600,2025/7/11
20,安徽大学龙河校区高等教育研究所和学报编辑部等场地改造项目,2025/7/2,工程,政府采购,安徽省,合肥市,,2025BFAZJ01617,安徽大学,安徽公共资源交易集团项目管理有限公司,68.3,合肥市蜀山区九龙路111号,40日历天,安徽众喜实业有限公司,346666.66,2025/7/11
21,庐江县人民医院2025年洗涤外包服务,2025/6/19,服务,政府采购,安徽省,合肥市,庐江县,2025ANNFZ00185,安徽省庐江县人民医院,合肥庐江公共资源交易有限公司,297.5,安徽省合肥市庐江县庐城镇文明中路32号,自合同签订之日起一年,芜湖海华之念保洁服务有限公司,1801080,2025/7/11
22,庐江县森林可持续经营试点项目（2025-2027年度）,2025/6/30,服务,政府采购,安徽省,合肥市,庐江县,2025ANNFN00207,庐江县林业和园林建设服务中心,安徽致远工程咨询有限公司,59.16,安徽省合肥市庐江县岗湾街道城中中路49号,自合同签订之日起至2027年底止。（服务期限暂定1080日历天）,安徽省友林林业技术发展有限公司,468600,2025/7/11
23,2025年肥东县农村房地一体确权登记颁证修补调查测绘,2025/6/26,服务,政府采购,安徽省,合肥市,肥东县,2025ADDFN00098,肥东县自然资源和规划局,肥东县公共资源交易有限公司,297,安徽省合肥市肥东县店埠镇站北路1号,365日历天,阜阳市测绘院有限责任公司,2514600,2025/7/11
24,2025年肥东县国防训练动员教育基地物业服务,2025/6/19,服务,政府采购,安徽省,合肥市,肥东县,2025ADDFY00092,肥东县直属机关事务管理中心,肥东县公共资源交易有限公司,200,安徽省合肥市肥东县店埠镇龙泉路8号,响应采购文件要求,安徽新华物业服务集团有限公司,1772343.94,2025/7/11
25,2025年长丰县村级电子政务外网服务租赁,2025/6/30,服务,政府采购,安徽省,合肥市,长丰县,2025ACCFN00214,长丰县数据资源管理局,长丰县公共资源交易有限责任公司,36.73,安徽省合肥市长丰县水湖镇吴山路与南一环路交口,服务期一年。合同到期前，经考核合格后，在年度预算能够保障的前提下，可续签累计不超过3年,中国移动通信集团安徽有限公司,367265,2025/7/11
26,长丰县2025年中型水库标准化管理达标创建项目（二次）,2025/6/30,服务,政府采购,安徽省,合肥市,长丰县,2025ACCFN00213,长丰县水务局,长丰县公共资源交易有限责任公司,180,安徽省合肥市长丰县水湖镇杨公路与南一环交口北部综合楼,120日历天,安徽沃特水务科技有限公司,1090000,2025/7/11
27,2025年合肥六中链路租赁,2025/6/19,服务,政府采购,安徽省,合肥市,,2025BFFFZ01477,合肥市第六中学,合肥市政府采购中心,36.18,合肥市庐阳区长江路397号,合同服务期为1年。合同到期前，经考核合格后，在年度预算能够保障的前提下可续签累计不超过3年的采购合同，最多续签2次，合同一年一签。,"中国电信股份有限公司合肥分公司,中国移动通信集团安徽有限公司",282000,2025/7/10
28,2025年合肥教育宣传专版专栏,2025/6/18,服务,政府采购,安徽省,合肥市,,2025BFFFZ01450,合肥市教育局,安徽公共资源交易集团项目管理有限公司,55,合肥市蜀山区天鹅湖路558号,合同签订后一年。合同到期前，经考核合格后，在年度预算能够保障的前提下，可续签累计不超过3年的采购合同，最多续签2次，合同一年一签。,合肥日报传媒集团（合肥日报社）,348000,2025/7/10
